Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20097700692NUC4A,,"Vue intérieure du choeur, depuis le sud-ouest : élévation nord de la travée droite du choeur et dégagement vers le collatéral nord et la chapelle de la Vierge. Eglise paroissiale Saint-Denis",77.0,Beton-Bazoches,,,,IVR11_20097700692NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c4a940000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c4a940000000000000000_MEDIUM.jpg
IVR11_20097700714NUC4A,,Détail d'un bas-relief : l'Annonciation. 4 bas-reliefs : scènes de la vie de la Vierge,77.0,Beton-Bazoches,,,,IVR11_20097700714NUC4A.jpg,2009.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c4aaa0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4a9c4aaa0000000000000000_MEDIUM.jpg
IVR11_20109500048NUC4A,,Silos,95.0,Louvres,,,,IVR11_20109500048NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4b3d2d200000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4b3d2d200000000000000000_MEDIUM.jpg
IVR11_20109300189NUC4A,cités de Romainville,Vue rapprochée du portique extérieur. Cité Pablo Neruda,93.0,Romainville,,,,IVR11_20109300189NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4b8af62d0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4b8af62d0000000000000000_MEDIUM.jpg
IVR11_20107700255NUC4A,atelier (gestes du travail),Jeumont-Electric (Groupe Altawest). Fabrication du stator. Atelier bobinage. La bobine est placée dans les encoches d'une lanterne de stator empilée.,77.0,,,,,IVR11_20107700255NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7c5f0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7c5f0000000000000000_MEDIUM.jpg
IVR11_20107500148NUC2A,résidence d'étudiants dite Maison du Liban,La salle des fêtes.,75.0,Paris,14e arrondissement,Jourdan (boulevard) 9 E,,IVR11_20107500148NUC2A.jpg,2010.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca508f40000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca508f40000000000000000_MEDIUM.jpg
IVR11_20107500174NUC2A,résidence d'étudiants dite Fondation Suisse,Vue nord-ouest.,75.0,Paris,14e arrondissement,Jourdan (boulevard) 7,,IVR11_20107500174NUC2A.jpg,2010.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca5090e0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca5090e0000000000000000_MEDIUM.jpg
IVR11_20107500819NUC4A,résidence d'étudiants dite Fondation argentine,Vue du bureau du directeur ???.,75.0,Paris,,,,IVR11_20107500819NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca50b930000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca50b930000000000000000_MEDIUM.jpg
IVR11_20107501152NUC4A,résidence d'étudiants dite Maison des étudiants arméniens - Fondation Marie Nuba,"Vue de l'inscription ""Maison arménienne"" qui suit la courbe du porche d'entrée. Les lettres ont formées par un ou deux oiseaux sculptés en creux dans la pierre, calligraphie empruntée aux manuscrits enluminés arméniens.",75.0,Paris,,,,IVR11_20107501152NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca50ce00000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4ca50ce00000000000000000_MEDIUM.jpg
IVR11_20119500346NUC4A,,Détail des tuiles mécaniques du toit. Asile Sainte-Elisabeth,95.0,Menucourt,,Pasteur (rue),,IVR11_20119500346NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61ca0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61ca0000000000000000_MEDIUM.jpg
IVR11_20119500388NUC4A,,Vue d'ensemble des immeubles situés à l'angle de l'avenue de la Belle Haumière et le passage de la Musaraigne. Lotissement,95.0,Cergy,,Belle Haumière (avenue de la) ?,,IVR11_20119500388NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61f40000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61f40000000000000000_MEDIUM.jpg
IVR11_20119500402NUC4A,,Détail d'une façade latérale et d'une baie dans laquelle se profile la sculpture d'un buste de la République. Mairie,95.0,Éragny,,Louis-Don-Marino (place),,IVR11_20119500402NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e62020000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e62020000000000000000_MEDIUM.jpg
